BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Myrica holdridgeana,Myrica,holdridgeana,,(Lundell) Wilbur.,Fagales,Myricaceae,PRTRE364-13,,KJ082437,,F. Axelrod-13311,09-Aug-2012,US
Myrsine coriacea,Myrsine,coriacea,,(Sw.) R. Br. ex Roem. & Schult.,Primulaceae,Ericales,PRTRE519-13,KJ012692,KJ082452,KJ426840,R.A. Muscarella-711,17-Apr-2012,US
Myrsine guianensis,Myrsine,guianensis,,(Aubl.),Primulaceae,Ericales,PRTRE446-13,,JN564313.1,,F.R. Fosberg-59212,01-Dec-1980,US
Nectandra coriacea,Nectandra,coriacea,,(Sw.) Griseb.,Lauraceae,Laurales,PRTRE535-13,KJ012693,KJ082453,KJ426841,R.A. Muscarella-625,21-Feb-2012,US
Nectandra coriacea,Nectandra,coriacea,,(Sw.) Griseb.,Lauraceae,Laurales,PRTRE173-13,KJ012694,KJ082454,KJ426842,R.A. Muscarella-396,28-Jul-2011,US
Nectandra hihua,Nectandra,hihua,,(Ruiz & Pav.) Rohwer,Lauraceae,Laurales,PRTRE293-13,,KJ082455,KJ426843,J. S. Miller-5900,02-Feb-1991,US
Nectandra krugii,Nectandra,krugii,,Mez,Lauraceae,Laurales,PRTRE369-13,,KJ082456,KJ426844,F. Axelrod-11863,02-Jul-2001,US
Nectandra membranacea,Nectandra,membranacea,,(Sw.) Griseb.,Lauraceae,Laurales,PRTRE239-13,KJ012695,KJ082457,,R.A. Muscarella-249,17-Jul-2011,US
Nectandra patens,Nectandra,patens,,(Sw.) Griseb.,Lauraceae,Laurales,PRTRE316-13,KJ012696,KJ082458,KJ426845,F. Axelrod-10985,02-Jul-1999,US
Nectandra turbacensis,Nectandra,turbacensis,,(Kunth) Nees,Lauraceae,Laurales,PRTRE549-13,,KJ082459,,R.A. Muscarella-706,17-Apr-2012,US
Nectandra turbacensis,Nectandra,turbacensis,,(Kunth) Nees,Lauraceae,Laurales,PRTRE531-13,KJ012697,KJ082460,KJ426846,R.A. Muscarella-647,20-Mar-2012,US
Neea buxifolia,Neea,buxifolia,,(Hook. f.) Heimerl,Nyctaginaceae,Caryophyllales,PRTRE250-13,KJ012698,KJ082461,KJ426847,R.A. Muscarella-274,17-Jul-2011,US
Neolaugeria resinosa,Neolaugeria,resinosa,,(Vahl) Nicolson,Rubiaceae,Gentianales,PRTRE027-13,KJ012699,KJ082462,KJ426848,R.A. Muscarella-36,15-Jun-2011,US
Ocotea cuneata,Ocotea,cuneata,,(Griseb.) M. Gomez,Lauraceae,Laurales,PRTRE596-13,KJ012700,KJ082463,KJ426849,R.A. Muscarella-635,13-Feb-2012,US
Ocotea foeniculacea,Ocotea,foeniculacea,,Mez.,Lauraceae,Laurales,PRTRE416-13,,KJ082463,,P. Acevedo-Rdgz.-10631,13-Jan-1999,US
Ocotea portoricensis,Ocotea,portoricensis,,Mez.,Lauraceae,Laurales,PRTRE418-13,,KJ082463,,R.O. Woodbury-NA,15-Oct-1969,US
Ocotea spathulata,Ocotea,spathulata,,Mez,Lauraceae,Laurales,PRTRE661-13,,KJ082463,,R.A. Muscarella-536,02-Jun-2012,US
Ocotea wrightii,Ocotea,wrightii,,(Meisn.) Mez,Lauraceae,Laurales,PRTRE232-13,KJ012701,KJ082464,KJ426850,R.A. Muscarella-234,16-Jul-2011,US
Ossaea krugiana,Ossaea,krugiana,,Cogn.,Melastomataceae,Myrtales,PRTRE030-13,,KJ082465,KJ426851,R.A. Muscarella-78,18-Jun-2011,US
Ottoschulzia rhodoxylon,Ottoschulzia,rhodoxylon,,(Urb.) Urb.,Icacinaceae,Icacinales,PRTRE558-13,,KJ082466,KJ426852,R.A. Muscarella-642,14-Mar-2012,US
Ottoschulzia rhodoxylon,Ottoschulzia,rhodoxylon,,(Urb.) Urb.,Icacinaceae,Icacinales,PRTRE096-13,,KJ082467,KJ426853,R.A. Muscarella-381,28-Jul-2011,US
Ouratea litoralis,Ouratea,litoralis,,Urb.,Ochnaceae,Malpighiales,PRTRE084-13,,KJ082468,KJ426854,R.A. Muscarella-123,07-Jul-2011,US
Ouratea litoralis,Ouratea,litoralis,,Urb.,Ochnaceae,Malpighiales,PRTRE652-13,,KJ082469,KJ426855,R.A. Muscarella-546,13-Feb-2012,US
Ouratea striata,Ouratea,striata,,(Tiegh.) Urb.,Ochnaceae,Malpighiales,PRTRE358-13,,KJ082470,KJ426856,R. Berazain-NA,05-May-1995,US
Oxandra lanceolata,Oxandra,lanceolata,,(Sw.) Baill.,Annonaceae,Magnoliales,PRTRE321-13,KJ012702,KJ082471,KJ426857,G.J. Breckon-7596,02-Jun-2005,US
Oxandra laurifolia,Oxandra,laurifolia,,(Sw.) A. Rich.,Annonaceae,Magnoliales,PRTRE507-13,KJ012703,KJ082472,,R.A. Muscarella-700,19-Apr-2012,US
Palicourea alpina,Palicourea,alpina,,(Sw.) DC.,Rubiaceae,Gentianales,PRTRE348-13,,KJ082473,,F. Axelrod-12530,02-Jun-2003,US
Palicourea crocea,Palicourea,crocea,,(Sw.) Schult.,Rubiaceae,Gentianales,PRTRE306-13,,KJ082473,,C.M. Taylor-7085,02-Feb-1986,US
Palicourea croceoides,Palicourea,croceoides,,Ham.,Rubiaceae,Gentianales,PRTRE412-13,,KJ082473,,R.A. Muscarella-58,06-Oct-2011,US
Parathesis crenulata,Parathesis,crenulata,,(Vent.) Hook. f. ex Hemsl.,Primulaceae,Ericales,PRTRE255-13,KJ012704,KJ082474,KJ426858,R.A. Muscarella-183,14-Jul-2011,US
Pavonia paludicola,Pavonia,paludicola,,Nicolson ex Fryxell,Malvaceae,Malvales,PRTRE523-13,KJ012705,KJ082477,KJ426861,R.A. Muscarella-295,19-Jul-2011,US
Peltophorum pterocarpum,Peltophorum,pterocarpum,,(DC.) Backer ex K. Heyne,Fabaceae,Fabales,PRTRE114-13,KJ012706,KJ082478,,R.A. Muscarella-186,07-Dec-2011,US
Petitia domingensis,Petitia,domingensis,,Jacq.,Lamiaceae,Lamiales,PRTRE257-13,KJ012707,KJ082479,KJ426862,R.A. Muscarella-192,07-Dec-2011,US
Petitia domingensis,Petitia,domingensis,,Jacq.,Lamiaceae,Lamiales,PRTRE497-13,KJ012708,KJ082480,KJ426863,R.A. Muscarella-657,14-Mar-2012,US
