BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Cynophalla flexuosa,Cynophalla,flexuosa,,(L.) J. Presl,Capparaceae,Brassicales,PRTRE253-13,KJ012556,KJ082258,KJ426691,R.A. Muscarella-211,16-Jul-2011,US
Cynophalla hastata,Cynophalla,hastata,,(Jacq.) J. Presl,Capparaceae,Brassicales,PRTRE256-13,KJ012557,KJ082259,KJ426692,R.A. Muscarella-182,06-Mar-2011,US
Cyrilla racemiflora,Cyrilla,racemiflora,,L.,Cyrillaceae,Ericales,PRTRE411-13,KJ012558,KJ082260,,R.A. Muscarella-60,06-Oct-2011,US
Daphnopsis americana,Daphnopsis,americana,,(Mill.) J. R. Johnst.,Thymelaeaceae,Malvales,PRTRE057-13,KJ012559,KJ082261,KJ426693,R.A. Muscarella-127,07-Jul-2011,US
Daphnopsis americana,Daphnopsis,americana,subsp. caribaea,(Griseb.) Nevling,Thymelaeaceae,Malvales,PRTRE545-13,,KJ082262,,R.A. Muscarella-349,22-Jul-2011,US
Daphnopsis helleriana,Daphnopsis,helleriana,,Urb.,Thymelaeaceae,Malvales,PRTRE128-13,KJ012560,KJ082263,KJ426695,R.A. Muscarella-422,30-Jul-2011,US
Daphnopsis helleriana,Daphnopsis,helleriana,,Urb.,Thymelaeaceae,Malvales,PRTRE589-13,,,KJ426694,R.A. Muscarella-587,21-Feb-2012,US
Delonix regia,Delonix,regia,,(Bojer) Raf.,Fabaceae,Fabales,PRTRE026-13,KJ012561,KJ082264,KJ426696,R.A. Muscarella-25,06-Dec-2011,US
Dendropanax laurifolius,Dendropanax,laurifolius,,(Marchal ex Urb.) Decne. & Planch. ex R. C. Schneid.,Araliaceae,Apiales,PRTRE317-13,,KJ082265,KJ426697,F. Axelrod-13783,02-Jun-2007,US
Diospyros revoluta,Diospyros,revoluta,,Poir.,Ebenaceae,Ericales,PRTRE429-13,KJ012565,KJ082269,,R.A. Howard-18980,04-Jan-1979,US
Diospyros sintenisii,Diospyros,sintenisii,,(Krug & Urb.) Standl.,Ebenaceae,Ericales,PRTRE604-13,KJ012566,KJ082270,KJ426701,R.A. Muscarella-607,21-Feb-2012,US
Diospyros sintenisii,Diospyros,sintenisii,,(Krug & Urb.) Standl.,Ebenaceae,Ericales,PRTRE178-13,KJ012567,KJ082271,KJ426702,R.A. Muscarella-472,08-Oct-2011,US
Diospyros sintenisii,Diospyros,sintenisii,,(Krug & Urb.) Standl.,Ebenaceae,Ericales,PRTRE643-13,KJ012568,KJ082272,KJ426703,R.A. Muscarella-602,21-Feb-2012,US
Dodonaea viscosa,Dodonaea,viscosa,,Jacq.,Sapindaceae,Sapindales,PRTRE228-13,KJ012569,KJ082273,KJ426704,R.A. Muscarella-288,19-Jul-2011,US
Drypetes alba,Drypetes,alba,,Poit.,Putranjivaceae,Malpighiales,PRTRE648-13,KJ012572,KJ082276,KJ426707,R.A. Muscarella-614,21-Feb-2012,US
Drypetes alba,Drypetes,alba,,Poit.,Putranjivaceae,Malpighiales,PRTRE556-13,KJ012573,,,R.A. Muscarella-605,21-Feb-2012,US
Drypetes ilicifolia,Drypetes,ilicifolia,,Krug & Urb.,Putranjivaceae,Malpighiales,PRTRE149-13,,KJ082277,KJ426708,R.A. Muscarella-407,30-Jul-2011,US
Drypetes lateriflora,Drypetes,lateriflora,,(Sw.) Krug & Urb.,Putranjivaceae,Malpighiales,PRTRE171-13,,KJ082278,KJ426709,R.A. Muscarella-418,30-Jul-2011,US
Drypetes lateriflora,Drypetes,lateriflora,,(Sw.) Krug & Urb.,Putranjivaceae,Malpighiales,PRTRE538-13,KJ012574,,KJ426710,R.A. Muscarella-683,04-Feb-2012,US
Duranta erecta,Duranta,erecta,,L.,Verbenaceae,Lamiales,PRTRE184-13,,KJ082279,KJ426711,F. Axelrod-12043,02-Jul-2002,US
Elaeodendron xylocarpum,Elaeodendron,xylocarpum,,(Vent.) DC.,Celastraceae,Celastrales,PRTRE107-13,KJ012575,KJ082280,KJ426712,R.A. Muscarella-299,18-Jul-2011,US
Elaeodendron xylocarpum,Elaeodendron,xylocarpum,,(Vent.) DC.,Celastraceae,Celastrales,PRTRE659-13,,KJ082281,KJ426713,R.A. Muscarella-557,21-Feb-2012,US
Erithalis fruticosa,Erithalis,fruticosa,,L.,Rubiaceae,Gentianales,PRTRE069-13,KJ012576,KJ082282,KJ426714,R.A. Muscarella-21,06-Mar-2011,US
Erythrina berteroana,Erythrina,berteroana,,Urb.,Fabaceae,Fabales,PRTRE103-13,,KJ082283,,R.A. Muscarella-264,17-Jul-2011,US
Erythrina corallodendrum,Erythrina,corallodendrum,,L.,Fabaceae,Fabales,PRTRE220-13,KJ012577,KJ082284,,R.A. Muscarella-252,17-Jul-2011,US
Erythrina poeppigiana,Erythrina,poeppigiana,,(Walp.) O. F. Cook,Fabaceae,Fabales,PRTRE001-13,KJ012578,KJ082285,,R.A. Muscarella-18,06-Mar-2011,US
Erythroxylum areolatum,Erythroxylum,areolatum,,L.,Erythroxylaceae,Malpighiales,PRTRE504-13,KJ012579,KJ082286,KJ426715,R.A. Muscarella-157,07-Sep-2011,US
Erythroxylum areolatum,Erythroxylum,areolatum,,L.,Erythroxylaceae,Malpighiales,PRTRE049-13,,KJ082287,,R.A. Muscarella-14,06-Mar-2011,US
Erythroxylum brevipes,Erythroxylum,brevipes,,DC.,Erythroxylaceae,Malpighiales,PRTRE267-13,,KJ082288,KJ426716,R.A. Muscarella-384,28-Jul-2011,US
Erythroxylum rotundifolium,Erythroxylum,rotundifolium,,Lunan,Erythroxylaceae,Malpighiales,PRTRE548-13,,KJ082289,,R.A. Muscarella-717,07-Feb-2012,US
Erythroxylum rufum,Erythroxylum,rufum,,Cav.,Erythroxylaceae,Malpighiales,PRTRE244-13,KJ012580,KJ082290,KJ426717,R.A. Muscarella-337,22-Jul-2011,US
Erythroxylum rufum,Erythroxylum,rufum,,Cav.,Erythroxylaceae,Malpighiales,PRTRE564-13,KJ012581,,,R.A. Muscarella-176,07-Oct-2011,US
Erythroxylum urbanii,Erythroxylum,urbanii,,O. E. Schulz,Erythroxylaceae,Malpighiales,PRTRE215-13,,KJ082291,,R.A. Muscarella-426,30-Jul-2011,US
Erythroxylum urbanii,Erythroxylum,urbanii,,O.E. Schulz,Erythroxylaceae,Malpighiales,PRTRE632-13,,KJ082292,KJ426718,R.A. Muscarella-574,21-Feb-2012,US
Eugenia axillaris,Eugenia,axillaris,,(Sw.) Willd.,Myrtaceae,Myrtales,PRTRE148-13,KJ012582,KJ082293,KJ426719,R.A. Muscarella-408,30-Jul-2011,US
Eugenia biflora,Eugenia,biflora,,(L.) DC.,Myrtaceae,Myrtales,PRTRE496-13,KJ012583,KJ082294,,R.A. Muscarella-639,21-Feb-2012,US
Eugenia biflora,Eugenia,biflora,,(L.) DC.,Myrtaceae,Myrtales,PRTRE158-13,KJ012584,KJ082295,KJ426720,R.A. Muscarella-179,07-Nov-2011,US
Eugenia biflora,Eugenia,biflora,,(Sw.) DC.,Myrtaceae,Myrtales,PRTRE628-13,,KJ082296,,R.A. Muscarella-533,02-Jun-2012,US
Eugenia biflora,Eugenia,biflora,,(L.) DC.,Myrtaceae,Myrtales,PRTRE080-13,KJ012585,KJ082297,KJ426721,R.A. Muscarella-124,07-Jul-2011,US
Eugenia borinquensis,Eugenia,borinquensis,,Britton,Myrtaceae,Myrtales,PRTRE004-13,KJ012586,KJ082298,KJ426722,R.A. Muscarella-56,16-Jun-2011,US
Eugenia confusa,Eugenia,confusa,,DC.,Myrtaceae,Myrtales,PRTRE078-13,KJ012587,KJ082299,KJ426723,R.A. Muscarella-93,18-Jun-2011,US
Eugenia cordata,Eugenia,cordata,,(Sw.) DC.,Myrtaceae,Myrtales,PRTRE111-13,,,KJ426724,R. Garcia-3449,02-Feb-1991,US
Eugenia foetida,Eugenia,foetida,,Pers.,Myrtaceae,Myrtales,PRTRE571-13,,KJ082300,KJ426725,R.A. Muscarella-678,04-Feb-2012,US
Eugenia foetida,Eugenia,foetida,,Pers.,Myrtaceae,Myrtales,PRTRE275-13,KJ012588,KJ082301,KJ426726,R.A. Muscarella-205,16-Jul-2011,US
Eugenia foetida,Eugenia,foetida,,Pers.,Myrtaceae,Myrtales,PRTRE552-13,,KJ082302,,R.A. Muscarella-664,14-Mar-2012,US
Eugenia haematocarpa,Eugenia,haematocarpa,,Alain,Myrtaceae,Myrtales,PRTRE351-13,,,KJ426727,F. Axelrod-9895,02-Aug-1996,US
Eugenia ligustrina,Eugenia,ligustrina,,(Sw.) Willd.,Myrtaceae,Myrtales,PRTRE541-13,KJ012589,KJ082303,KJ426728,R.A. Muscarella-719,07-Feb-2012,US
Eugenia ligustrina,Eugenia,ligustrina,,(Sw.) Willd.,Myrtaceae,Myrtales,PRTRE088-13,KJ012590,KJ082304,KJ426729,R.A. Muscarella-57,16-Jun-2011,US
Eugenia monticola,Eugenia,monticola,,(Sw.) DC.,Myrtaceae,Myrtales,PRTRE016-13,KJ012591,KJ082305,KJ426730,R.A. Muscarella-104,18-Jun-2011,US
Eugenia padronii,Eugenia,padronii,,Alain,Myrtaceae,Myrtales,PRTRE619-13,KJ012592,KJ082306,KJ426731,R.A. Muscarella-594,13-Feb-2012,US
Eugenia padronii,Eugenia,padronii,,Alain,Myrtaceae,Myrtales,PRTRE573-13,KJ012593,,KJ426732,R.A. Muscarella-641,21-Feb-2012,US
Eugenia pseudopsidium,Eugenia,pseudopsidium,,Jacq.,Myrtaceae,Myrtales,PRTRE269-13,KJ012594,KJ082307,KJ426733,R.A. Muscarella-312,21-Jul-2011,US
Eugenia pseudopsidium,Eugenia,pseudopsidium,,Jacq.,Myrtaceae,Myrtales,PRTRE502-13,KJ012595,,KJ426734,R.A. Muscarella-630,29-Feb-2012,US
Eugenia rhombea,Eugenia,rhombea,,(O. Berg) Krug & Urb.,Myrtaceae,Myrtales,PRTRE056-13,KJ012596,KJ082308,KJ426735,R.A. Muscarella-105,18-Jun-2011,US
Eugenia rhombea,Eugenia,rhombea,,(O. Berg) Krug & Urb.,Myrtaceae,Myrtales,PRTRE501-13,KJ012597,,KJ426736,R.A. Muscarella-163,07-Sep-2011,US
Eugenia sessiliflora,Eugenia,sessiliflora,,Vahl,Myrtaceae,Myrtales,PRTRE177-13,KJ012598,KJ082309,KJ426737,R.A. Muscarella-453,08-May-2011,US
Eugenia stahlii,Eugenia,stahlii,,(Kiaersk.) Krug & Urb.,Myrtaceae,Myrtales,PRTRE436-13,KJ012599,KJ082310,,R.A. Muscarella-246,16-Jul-2011,US
Eugenia woodburyana,Eugenia,woodburyana,,Alain,Myrtaceae,Myrtales,PRTRE456-13,KJ012600,KJ082311,,R.A. Muscarella-493,08-Dec-2011,US
Euphorbia petiolaris,Euphorbia,petiolaris,,Sims,Euphorbiaceae,Malpighiales,PRTRE225-13,,KJ082312,,R.A. Muscarella-374,28-Jul-2011,US
Exostema caribaeum,Exostema,caribaeum,,(Jacq.) Roem. & Schult.,Rubiaceae,Gentianales,PRTRE082-13,KJ012601,KJ082313,KJ426738,R.A. Muscarella-149,07-Sep-2011,US
Exostema ellipticum,Exostema,ellipticum,,Griseb.,Rubiaceae,Gentianales,PRTRE372-13,,,KJ426739,J. Cedeno-93,02-Aug-1993,US
Exothea paniculata,Exothea,paniculata,,(Juss.) Radlk.,Sapindaceae,Sapindales,PRTRE241-13,KJ012602,KJ082314,KJ426740,R.A. Muscarella-275,16-Jul-2011,US
Exothea paniculata,Exothea,paniculata,,(Juss.) Radlk.,Sapindaceae,Sapindales,PRTRE572-13,,KJ082315,KJ426741,R.A. Muscarella-660,14-Mar-2012,US
Ficus americana,Ficus,americana,subsp. americana,Aubl.,Moraceae,Rosales,PRTRE516-13,KJ012603,KJ082316,,R.A. Muscarella-669,14-Mar-2012,US
Ficus crassinervia,Ficus,crassinervia,,Desf. ex Willd.,Moraceae,Rosales,PRTRE150-13,KJ012604,KJ082317,KJ426742,R.A. Muscarella-419,30-Jul-2011,US
Ficus trigonata,Ficus,trigonata,,L.,Moraceae,Rosales,PRTRE340-13,,KJ082318,,F. Axelrod-11812,,US
Ficus trigonata,Ficus,trigonata,,L.,Moraceae,Rosales,PRTRE165-13,KJ012605,KJ082319,KJ426743,R.A. Muscarella-496,08-Dec-2011,US
Flueggea acidoton,Flueggea,acidoton,,(L.) G. L. Webster,Phyllanthaceae,Malpighiales,PRTRE322-13,,KJ082320,,F. Axelrod-12335,02-Jul-2002,US
Forestiera eggersiana,Forestiera,eggersiana,,Krug & Urb.,Oleaceae,Lamiales,PRTRE298-13,,KJ082321,KJ426744,T.A. Zanoni-47249,02-Aug-1994,US
Forestiera segregata,Forestiera,segregata,,(Jacq.) Krug & Urb.,Oleaceae,Lamiales,PRTRE370-13,,KJ082322,KJ426745,G.J. Breckon-4900,02-Aug-1996,US
Forestiera segregata,Forestiera,segregata,,(Jacq.) Krug & Urb.,Oleaceae,Lamiales,PRTRE581-13,,KJ082323,KJ426746,R.A. Muscarella-736,21-Aug-2012,US
Gaussia attenuata,Gaussia,attenuata,,(O. F. Cook) Becc.,Arecaceae,Arecales,PRTRE175-13,KJ012606,KJ082324,KJ426747,R.A. Muscarella-430,30-Jul-2011,US
Gesneria pedunculosa,Gesneria,pedunculosa,,(DC.) Fritsch,Gesneriaceae,Lamiales,PRTRE091-13,KJ012607,KJ082325,KJ426748,R.A. Muscarella-19,06-Mar-2011,US
Gesneria viridiflora,Gesneria,viridiflora,subsp. sintenisii,(Urb.) L. E. Skog,Gesneriaceae,Lamiales,PRTRE393-13,KJ012608,KJ082326,,R.A. Muscarella-281,18-Jul-2011,US
Ginoria rohrii,Ginoria,rohrii,,(Vahl) Koehne,Lythraceae,Myrtales,PRTRE190-13,KJ012609,KJ082327,KJ426749,R.A. Muscarella-452,08-May-2011,US
Goetzea elegans,Goetzea,elegans,,Wydler,Solanaceae,Solanales,PRTRE176-13,KJ012610,KJ082328,KJ426750,R.A. Muscarella-440,30-Jul-2011,US
Goetzea elegans,Goetzea,elegans,,Wydler,Solanaceae,Solanales,PRTRE180-13,KJ012611,KJ082329,KJ426751,R.A. Muscarella-495,08-Dec-2011,US
Gomidesia lindeniana,Gomidesia,lindeniana,,O. Berg,Myrtaceae,Myrtales,PRTRE115-13,KJ012612,KJ082330,KJ426752,R.A. Muscarella-260,17-Jul-2011,US
Gonocalyx portoricensis,Gonocalyx,portoricensis,,(Urb.) A. C. Sm,Ericaceae,Ericales,PRTRE396-13,KJ012613,KJ082331,,R.A. Muscarella-279,18-Jul-2011,US
Guaiacum officinale,Guaiacum,officinale,,L.,Zygophyllaceae,Zygophyllales,PRTRE003-13,KJ012614,KJ082332,KJ426753,R.A. Muscarella-39,15-Jun-2011,US
Guaiacum sanctum,Guaiacum,sanctum,,L.,Zygophyllaceae,Zygophyllales,PRTRE059-13,KJ012615,KJ082333,KJ426754,R.A. Muscarella-155,07-Sep-2011,US
Guapira discolor,Guapira,discolor,,(Spreng.) Little,Nyctaginaceae,Caryophyllales,PRTRE303-13,,,KJ426755,G.J. Breckon-4829,02-Aug-1996,US
Guapira fragrans,Guapira,fragrans,,(Dum. Cours.) Little,Nyctaginaceae,Caryophyllales,PRTRE172-13,KJ012616,KJ082334,KJ426756,R.A. Muscarella-405,30-Jul-2011,US
Guapira obtusata,Guapira,obtusata,var. obtusata,(Jacq.) Little,Nyctaginaceae,Caryophyllales,PRTRE345-13,,KJ082335,,F. Axelrod-13143,02-Jun-2005,US
Guarea glabra,Guarea,glabra,,Vahl,Meliaceae,Sapindales,PRTRE615-13,,KJ082336,,R.A. Muscarella-532,02-Jun-2012,US
Guatteria blainii,Guatteria,blainii,,(Griseb.) Urb.,Annonaceae,Magnoliales,PRTRE252-13,KJ012617,KJ082337,KJ426757,R.A. Muscarella-230,16-Jul-2011,US
Guatteria blainii,Guatteria,blainii,,(Griseb.) Urb.,Annonaceae,Magnoliales,PRTRE529-13,KJ012618,KJ082338,KJ426758,R.A. Muscarella-696,19-Apr-2012,US
Guatteria blainii,Guatteria,blainii,,(Griseb.) Urb.,Annonaceae,Magnoliales,PRTRE086-13,KJ012619,KJ082339,KJ426759,R.A. Muscarella-91,18-Jun-2011,US
Guatteria caribaea,Guatteria,caribaea,,Urb.,Annonaceae,Magnoliales,PRTRE599-13,KJ012620,KJ082340,,R.A. Muscarella-516,02-Jun-2012,US
Guettarda elliptica,Guettarda,elliptica,,Sw.,Rubiaceae,Gentianales,PRTRE010-13,KJ012621,KJ082341,KJ426760,R.A. Muscarella-145,07-Sep-2011,US
Guettarda elliptica,Guettarda,elliptica,,Sw.,Rubiaceae,Gentianales,PRTRE563-13,,KJ082342,KJ426761,R.A. Muscarella-716,07-Feb-2012,US
Guettarda krugii,Guettarda,krugii,,Urb.,Rubiaceae,Gentianales,PRTRE245-13,KJ012622,KJ082343,KJ426762,R.A. Muscarella-372,28-Jul-2011,US
Guettarda odorata,Guettarda,odorata,,(Jacq.) Lam.,Rubiaceae,Gentianales,PRTRE355-13,,KJ082344,KJ426763,J.C. Trejo-1068,02-Aug-1997,US
Guettarda ovalifolia,Guettarda,ovalifolia,,Urb.,Rubiaceae,Gentianales,PRTRE553-13,KJ012623,KJ082345,,R.A. Muscarella-644,14-Mar-2012,US
Guettarda ovalifolia,Guettarda,ovalifolia,,Urb.,Rubiaceae,Gentianales,PRTRE052-13,KJ012624,KJ082346,KJ426764,R.A. Muscarella-46,15-Jun-2011,US
Guettarda pungens,Guettarda,pungens,,Urb.,Rubiaceae,Gentianales,PRTRE017-13,KJ012625,KJ082347,KJ426765,R.A. Muscarella-85,18-Jun-2011,US
Guettarda pungens,Guettarda,pungens,,Urb.,Rubiaceae,Gentianales,PRTRE629-13,,KJ082348,,R.A. Muscarella-543,13-Feb-2012,US
Guettarda scabra,Guettarda,scabra,,(L.) Vent.,Rubiaceae,Gentianales,PRTRE061-13,KJ012626,KJ082349,KJ426766,R.A. Muscarella-140,07-Jul-2011,US
Guettarda scabra,Guettarda,scabra,,(L.) Lam.,Rubiaceae,Gentianales,PRTRE533-13,KJ012627,KJ082350,,R.A. Muscarella-612,21-Feb-2012,US
Gyminda latifolia,Gyminda,latifolia,subsp. latifolia,(Sw.) Urb.,Celastraceae,Celastrales,PRTRE653-13,KJ012628,KJ082351,,R.A. Muscarella-554,13-Feb-2012,US
Gymnanthes lucida,Gymnanthes,lucida,,Sw.,Euphorbiaceae,Malpighiales,PRTRE124-13,KJ012629,KJ082352,KJ426767,R.A. Muscarella-201,16-Jul-2011,US
Gymnanthes lucida,Gymnanthes,lucida,,Sw.,Euphorbiaceae,Malpighiales,PRTRE162-13,KJ012630,KJ082353,KJ426768,R.A. Muscarella-221,16-Jul-2011,US
Haematoxylum campechianum,Haematoxylum,campechianum,,L.,Fabaceae,Fabales,PRTRE053-13,,KJ082354,KJ426769,R.A. Muscarella-65,06-Mar-2011,US
Hamelia patens,Hamelia,patens,,Jacq.,Rubiaceae,Gentianales,PRTRE221-13,KJ012631,KJ082355,KJ426770,R.A. Muscarella-266,17-Jul-2011,US
Hedyosmum arborescens,Hedyosmum,arborescens,,Sw.,Chloranthaceae,Chloranthales,PRTRE284-13,KJ012632,KJ082356,KJ426771,R.A. Muscarella-283,18-Jul-2011,US
Helicteres jamaicensis,Helicteres,jamaicensis,,Jacq.,Malvaceae,Malvales,PRTRE071-13,KJ012633,KJ082357,KJ426772,R.A. Muscarella-3,06-Feb-2011,US
Henriettea macfadyenii,Henriettea,macfadyenii,,(Triana) Alain,Melastomataceae,Myrtales,PRTRE263-13,KJ012635,KJ082358,KJ426774,R.A. Muscarella-285,18-Jul-2011,US
Henriettea squamulosa,Henriettea,squamulosa,,(Cogn.) Judd,Melastomataceae,Myrtales,PRTRE614-13,,KJ082359,KJ426776,R.A. Muscarella-535,02-Jun-2012,US
Hernandia sonora,Hernandia,sonora,,L.,Hernandiaceae,Laurales,PRTRE169-13,KJ012636,KJ082360,KJ426777,R.A. Muscarella-441,30-Jul-2011,US
Hibiscus elatus,Hibiscus,elatus,,Sw.,Malvaceae,Malvales,PRTRE051-13,KJ012639,KJ082362,KJ426780,R.A. Muscarella-34,15-Jun-2011,US
Hippomane mancinella,Hippomane,mancinella,,L.,Euphorbiaceae,Malpighiales,PRTRE131-13,KJ012641,KJ082363,KJ426782,R.A. Muscarella-468,08-May-2011,US
Hirtella triandra,Hirtella,triandra,,Sw.,Chrysobalanaceae,Malpighiales,PRTRE623-13,,KJ082364,KJ426783,R.A. Muscarella-704,19-Apr-2012,US
Hymenaea courbaril,Hymenaea,courbaril,,L.,Fabaceae,Fabales,PRTRE435-13,,KJ082365,,R.A. Muscarella-132,07-Jul-2011,US
Hypelate trifoliata,Hypelate,trifoliata,,Sw.,Sapindaceae,Sapindales,PRTRE224-13,KJ012642,KJ082366,KJ426784,R.A. Muscarella-378,28-Jul-2011,US
Ilex guianensis,Ilex,guianensis,,(Aubl.) Kuntze,Aquifoliaceae,Aquifoliales,PRTRE645-13,KJ012643,KJ082367,KJ426785,R.A. Muscarella-694,17-Apr-2012,US
Ilex macfadyenii,Ilex,macfadyenii,subsp. macfadyenii,(Walp.) Rehder,Aquifoliaceae,Aquifoliales,PRTRE667-13,KJ012644,KJ082368,KJ426786,R.A. Muscarella-576,19-Feb-2012,US
Ilex nitida,Ilex,nitida,,(Vahl) Maxim.,Aquifoliaceae,Aquifoliales,PRTRE515-13,KJ012645,KJ082369,KJ426787,R.A. Muscarella-649,20-Mar-2012,US
Ilex nitida,Ilex,nitida,var. repanda,(Griseb.) P. A. Gonzalez,Aquifoliaceae,Aquifoliales,PRTRE260-13,KJ012646,KJ082370,KJ426788,R.A. Muscarella-245,16-Jul-2011,US
Ilex obcordata,Ilex,obcordata,,Sw.,Aquifoliaceae,Aquifoliales,PRTRE579-13,,,KJ426789,R.A. Muscarella-578,19-Feb-2012,US
Indigofera suffruticosa,Indigofera,suffruticosa,,Mill.,Fabaceae,Fabales,PRTRE440-13,KJ012647,KJ082371,,R.A. Muscarella-100,18-Jun-2011,US
Ixora ferrea,Ixora,ferrea,,(Jacq.) Benth.,Rubiaceae,Gentianales,PRTRE584-13,,HM446816.1,,R.A. Muscarella-525,21-Feb-2012,US
Jacquinia arborea,Jacquinia,arborea,,Vahl,Primulaceae,Ericales,PRTRE227-13,KJ012648,KJ082372,,R.A. Muscarella-297,19-Jul-2011,US
Jatropha gossypiifolia,Jatropha,gossypiifolia,,L.,Euphorbiaceae,Malpighiales,PRTRE438-13,,KJ082373,,R.A. Muscarella-108,06-Oct-2011,US
Jatropha hernandiifolia,Jatropha,hernandiifolia,,Vent.,Euphorbiaceae,Malpighiales,PRTRE193-13,,KJ082374,,R.A. Muscarella-413,30-Jul-2011,US
Juglans jamaicensis,Juglans,jamaicensis,,C. DC.,Juglandaceae,Fagales,PRTRE166-13,KJ012649,KJ082375,KJ426790,R.A. Muscarella-485,08-Dec-2011,US
Koanophyllon polyodon,Koanophyllon,polyodon,,(Urb.) R. M. King & H. Rob.,Asteraceae,Asterales,PRTRE359-13,,KJ082376,KJ426791,F. Axelrod-11995,02-Jul-2002,US
Krugiodendron ferreum,Krugiodendron,ferreum,,(Vahl) Urb.,Rhamnaceae,Rosales,PRTRE136-13,KJ012650,KJ082377,KJ426792,R.A. Muscarella-212,16-Jul-2011,US
Krugiodendron ferreum,Krugiodendron,ferreum,,(Vahl) Urb.,Rhamnaceae,Rosales,PRTRE274-13,KJ012651,KJ082378,,R.A. Muscarella-226,16-Jul-2011,US
Laguncularia racemosa,Laguncularia,racemosa,,(L.) C. F. Gaertn.,Combretaceae,Myrtales,PRTRE099-13,KJ012652,KJ082379,,R.A. Muscarella-294,18-Jul-2011,US
Lantana involucrata,Lantana,involucrata,,L.,Verbenaceae,Lamiales,PRTRE409-13,KJ012653,KJ082380,,R.A. Muscarella-199,16-Jul-2011,US
